email,gpa,enrolled_credits,failed_classes
student1@mentalink.edu,1.56,17,3
student2@mentalink.edu,2.57,16,1
student3@mentalink.edu,1.26,15,4
student4@mentalink.edu,3.63,12,0
student5@mentalink.edu,2.24,17,0
student6@mentalink.edu,2.69,12,0
student7@mentalink.edu,3.29,15,0
student8@mentalink.edu,3.7,14,3
student9@mentalink.edu,1.55,12,2
student10@mentalink.edu,1.72,13,1
student11@mentalink.edu,3.97,16,1
student12@mentalink.edu,3.14,12,0
student13@mentalink.edu,3.8,18,0
student14@mentalink.edu,2.6,15,0
student15@mentalink.edu,3.16,16,0
student16@mentalink.edu,2.81,18,0
student17@mentalink.edu,1.46,17,0
student18@mentalink.edu,3.88,13,3
student19@mentalink.edu,2.18,14,0
student20@mentalink.edu,2.87,17,2
student21@mentalink.edu,2.07,16,1
student22@mentalink.edu,3.41,15,1
student23@mentalink.edu,1.25,18,0
student24@mentalink.edu,1.23,13,2
student25@mentalink.edu,3.25,13,0
student26@mentalink.edu,2.2,15,2
student27@mentalink.edu,2.53,13,1
student28@mentalink.edu,2.39,15,0
student29@mentalink.edu,3.43,14,0
student30@mentalink.edu,2.49,17,0
student31@mentalink.edu,1.73,16,3
student32@mentalink.edu,1.35,15,0
student33@mentalink.edu,2.6,13,0
student34@mentalink.edu,2.29,16,4
student35@mentalink.edu,3.66,15,1
student36@mentalink.edu,3.71,18,0
student37@mentalink.edu,1.14,16,4
student38@mentalink.edu,2.21,12,2
student39@mentalink.edu,3.22,13,0
student40@mentalink.edu,1.75,14,1
student41@mentalink.edu,1.13,12,0
student42@mentalink.edu,1.24,14,0
student43@mentalink.edu,3.56,12,3
student44@mentalink.edu,3.19,14,4
student45@mentalink.edu,1.99,12,0
student46@mentalink.edu,1.63,15,0
student47@mentalink.edu,1.52,14,0
student48@mentalink.edu,3.06,12,1
student49@mentalink.edu,1.88,16,4
student50@mentalink.edu,3.42,13,3
